                                                                                                       #config  avg(ms)    p50     p90     p99
                                                   TransBlockA{"dim":512,"dim_head":128,"heads":4}[8][257,512]   1.228   1.142   1.395   1.875
                                                    TransBlockB{"dim":512,"dim_linear_block":1024}[8][257,512]   1.213   1.140   1.282   1.868
                                                   TransBlockA{"dim":512,"dim_head":128,"heads":4}[8][257,512]   1.171   1.112   1.290   1.916
                                                    TransBlockB{"dim":512,"dim_linear_block":1024}[8][257,512]   1.197   1.202   1.384   1.912
                                                                                         prepOut{}[8][257,512]   0.125   0.109   0.167   0.228
                                             linear{"bias":true,"in_features":512,"out_features":1000}[8][512]   0.073   0.086   0.074   0.109
                                                                                            SUM(avg)  14.924
                                                                                                       #config  avg(ms)    p50     p90     p99
                      prep{"dim":512,"dropout":0.0,"img_dim":256,"in_channels":3,"patch_dim":16}[4][3,256,256]   0.644   0.570   0.835   1.015
                                                   TransBlockA{"dim":512,"dim_head":128,"heads":4}[4][257,512]   1.095   1.135   1.441   1.372
                                                    TransBlockB{"dim":512,"dim_linear_block":1024}[4][257,512]   1.112   1.376   1.435   1.426
                                                   TransBlockA{"dim":512,"dim_head":128,"heads":4}[4][257,512]   1.131   1.434   1.392   1.520
                                                    TransBlockB{"dim":512,"dim_linear_block":1024}[4][257,512]   1.159   1.364   1.535   1.806
                                                   TransBlockA{"dim":512,"dim_head":128,"heads":4}[4][257,512]   1.181   1.332   1.683   1.690
                                                    TransBlockB{"dim":512,"dim_linear_block":1024}[4][257,512]   1.206   1.229   1.654   1.854
                                                   TransBlockA{"dim":512,"dim_head":128,"heads":4}[4][257,512]   1.223   1.136   1.679   1.761
                                                    TransBlockB{"dim":512,"dim_linear_block":1024}[4][257,512]   1.232   1.145   1.519   1.883
                                                   TransBlockA{"dim":512,"dim_head":128,"heads":4}[4][257,512]   1.232   1.136   1.467   1.919
                                                    TransBlockB{"dim":512,"dim_linear_block":1024}[4][257,512]   1.212   1.092   1.505   1.964
                                                   TransBlockA{"dim":512,"dim_head":128,"heads":4}[4][257,512]   1.173   1.064   1.287   1.911
                                                    TransBlockB{"dim":512,"dim_linear_block":1024}[4][257,512]   1.160   1.075   1.274   1.929
                                                                                         prepOut{}[4][257,512]   0.135   0.115   0.158   0.241
                                             linear{"bias":true,"in_features":512,"out_features":1000}[4][512]   0.067   0.075   0.051   0.095
                                                                                            SUM(avg)  14.962
                                                                                                       #config  avg(ms)    p50     p90     p99
                      prep{"dim":512,"dropout":0.0,"img_dim":256,"in_channels":3,"patch_dim":16}[2][3,256,256]   0.706   0.742   0.830   0.999
                                                   TransBlockA{"dim":512,"dim_head":128,"heads":4}[2][257,512]   1.159   1.203   1.339   1.476
                                                    TransBlockB{"dim":512,"dim_linear_block":1024}[2][257,512]   1.182   1.248   1.383   1.534
                                                   TransBlockA{"dim":512,"dim_head":128,"heads":4}[2][257,512]   1.222   1.253   1.606   1.405
                                                    TransBlockB{"dim":512,"dim_linear_block":1024}[2][257,512]   1.266   1.299   1.566   1.449
                                                   TransBlockA{"dim":512,"dim_head":128,"heads":4}[2][257,512]   1.312   1.408   1.638   1.848
                                                    TransBlockB{"dim":512,"dim_linear_block":1024}[2][257,512]   1.335   1.430   1.644   1.831
                                                   TransBlockA{"dim":512,"dim_head":128,"heads":4}[2][257,512]   1.345   1.432   1.651   1.940
                                                    TransBlockB{"dim":512,"dim_linear_block":1024}[2][257,512]   1.347   1.480   1.542   1.944
                                                   TransBlockA{"dim":512,"dim_head":128,"heads":4}[2][257,512]   1.342   1.497   1.560   1.980
                                                    TransBlockB{"dim":512,"dim_linear_block":1024}[2][257,512]   1.314   1.475   1.452   1.791
                                                   TransBlockA{"dim":512,"dim_head":128,"heads":4}[2][257,512]   1.278   1.451   1.499   1.772
                                                    TransBlockB{"dim":512,"dim_linear_block":1024}[2][257,512]   1.241   1.147   1.468   1.977
                                                                                         prepOut{}[2][257,512]   0.152   0.147   0.181   0.262
                                             linear{"bias":true,"in_features":512,"out_features":1000}[2][512]   0.067   0.062   0.076   0.058
                                                                                            SUM(avg)  16.268
                                                                                                       #config  avg(ms)    p50     p90     p99
                      prep{"dim":512,"dropout":0.0,"img_dim":256,"in_channels":3,"patch_dim":16}[1][3,256,256]   0.772   0.805   0.931   1.072
                                                   TransBlockA{"dim":512,"dim_head":128,"heads":4}[1][257,512]   1.215   1.264   1.315   1.520
                                                    TransBlockB{"dim":512,"dim_linear_block":1024}[1][257,512]   1.230   1.266   1.446   1.512
                                                   TransBlockA{"dim":512,"dim_head":128,"heads":4}[1][257,512]   1.275   1.334   1.379   1.500
                                                    TransBlockB{"dim":512,"dim_linear_block":1024}[1][257,512]   1.318   1.378   1.489   1.508
                                                   TransBlockA{"dim":512,"dim_head":128,"heads":4}[1][257,512]   1.376   1.446   1.471   1.829
                                                    TransBlockB{"dim":512,"dim_linear_block":1024}[1][257,512]   1.425   1.533   1.614   2.034
                                                   TransBlockA{"dim":512,"dim_head":128,"heads":4}[1][257,512]   1.445   1.543   1.651   2.047
                                                    TransBlockB{"dim":512,"dim_linear_block":1024}[1][257,512]   1.444   1.545   1.636   2.075
                                                   TransBlockA{"dim":512,"dim_head":128,"heads":4}[1][257,512]   1.430   1.565   1.590   2.062
                                                    TransBlockB{"dim":512,"dim_linear_block":1024}[1][257,512]   1.422   1.478   1.492   2.037
                                                   TransBlockA{"dim":512,"dim_head":128,"heads":4}[1][257,512]   1.394   1.460   1.563   1.971
                                                    TransBlockB{"dim":512,"dim_linear_block":1024}[1][257,512]   1.306   1.347   1.592   1.828
                                                                                         prepOut{}[1][257,512]   0.163   0.170   0.201   0.218
                                             linear{"bias":true,"in_features":512,"out_features":1000}[1][512]   0.066   0.062   0.081   0.078
                                                                                            SUM(avg)  17.281
